miniloan-payment-default-risk-v2.0
creditScore,income,loanAmount,monthDuration,rate,yearlyReimbursement,paymentDefaultRisk
436,290532,136331,19,0.08,13979,0.174650968
500,94722,150099,20,0.08,15091,0.446156648
670,86878,269819,21,0.08,26947,0.813744175
717,274553,513754,19,0.08,53720,0.502676997
471,278339,206578,13,0.07,24874,0.23862388
827,230820,757193,20,0.08,77498,0.850341738
620,103873,237225,23,0.08,22918,0.611272202
475,78719,209293,10,0.06,28607,0.717315455
625,264765,86406,16,0.07,8948,0.121587445
621,183986,307994,22,0.08,29922,0.4587596
580,66037,168781,26,0.09,16187,0.682067211
397,160982,570189,17,0.07,57195,0.948457937
604,78432,286828,29,0.09,26794,0.955647664
797,159016,173501,28,0.09,16302,0.304140494
549,292454,331306,16,0.07,34521,0.328749401
822,163580,585683,26,0.09,56539,0.92551541
346,34835,10001,26,0.09,965,0.144028413
390,160718,271276,16,0.07,28094,0.486077701
709,198527,353239,23,0.08,33676,0.480085816
626,145519,187437,12,0.06,23181,0.361950753
448,256395,233107,19,0.08,24276,0.28309642
332,279334,259780,29,0.09,24302,0.30780065
454,98234,60333,22,0.08,5853,0.208610168
519,175956,554141,28,0.09,52304,0.835498491
536,270914,359543,25,0.08,33627,0.378428816
388,229230,323577,14,0.07,36209,0.417328553
345,139095,252547,26,0.09,24156,0.526374764
680,280453,241989,16,0.07,25372,0.252477321
649,185754,317668,8,0.06,52059,0.466059374
378,236463,331288,19,0.08,34712,0.416391094
316,76172,121519,16,0.07,12782,0.477944859
397,126642,129249,11,0.06,17350,0.318118689
499,190908,144286,23,0.08,13791,0.239047232
656,40639,158936,28,0.09,15013,1.015840507
475,238604,419217,23,0.08,40334,0.491870862
641,295552,12091,5,0.06,3280,0.049229033
401,106419,71902,30,0.09,6672,0.231256646
342,265165,297347,20,0.08,30266,0.353440901
578,231646,585676,22,0.08,57573,0.675333443
469,276799,436363,14,0.07,48831,0.447420309
809,175139,86124,8,0.06,14766,0.153838987
807,204516,6185,15,0.07,657,0.038539467
756,154874,514523,25,0.08,48231,0.863619747
848,184230,353170,27,0.09,33550,0.508732611
593,136724,260428,21,0.08,25966,0.51835143
