creditScore,income,loanAmount,monthDuration,rate,yearlyReimbursement,riskScore
436,290532,136331,19,0.08,13979,0.458715596
701,94722,150099,20,0.08,15091,0.285306705
670,86878,269819,21,0.08,26947,0.298507463
717,274553,513754,19,0.08,53720,0.278940028
471,278339,206578,13,0.07,24874,0.42462845
827,230820,757193,20,0.08,77498,0.241837969
620,103873,237225,23,0.08,22918,0.322580645
475,78719,209293,10,0.06,28607,0.421052632
625,264765,86406,16,0.07,8948,0.32
621,183986,307994,22,0.08,29922,0.322061192
580,66037,168781,26,0.09,16187,0.344827586
397,160982,570189,17,0.07,57195,0.503778338
604,78432,286828,29,0.09,26794,0.331125828
797,159016,173501,28,0.09,16302,0.250941029
549,292454,331306,16,0.07,34521,0.364298725
822,163580,585683,26,0.09,56539,0.243309002
346,34835,10001,26,0.09,965,0.578034682
390,160718,271276,16,0.07,28094,0.512820513
709,198527,353239,23,0.08,33676,0.282087447
626,145519,187437,12,0.06,23181,0.319488818
448,256395,233107,19,0.08,24276,0.446428571
332,279334,259780,29,0.09,24302,0.602409639
454,98234,60333,22,0.08,5853,0.440528634
519,175956,554141,28,0.09,52304,0.385356455
536,270914,359543,25,0.08,33627,0.373134328
388,229230,323577,14,0.07,36209,0.515463918
345,139095,252547,26,0.09,24156,0.579710145
680,280453,241989,16,0.07,25372,0.294117647
649,185754,317668,8,0.06,52059,0.30816641
378,236463,331288,19,0.08,34712,0.529100529
316,76172,121519,16,0.07,12782,0.632911392
397,126642,129249,11,0.06,17350,0.503778338
499,190908,144286,23,0.08,13791,0.400801603
656,40639,158936,28,0.09,15013,0.304878049
475,238604,419217,23,0.08,40334,0.421052632
641,295552,12091,5,0.06,3280,0.31201248
401,106419,71902,30,0.09,6672,0.498753117
342,265165,297347,20,0.08,30266,0.584795322
578,231646,585676,22,0.08,57573,0.346020761
469,276799,436363,14,0.07,48831,0.426439232
809,175139,86124,8,0.06,14766,0.247218789
807,204516,6185,15,0.07,657,0.247831475
756,154874,514523,25,0.08,48231,0.264550265
848,184230,353170,27,0.09,33550,0.235849057
593,136724,260428,21,0.08,25966,0.337268128
525,177833,19557,28,0.09,1835,0.380952381
431,197951,93944,17,0.07,9372,0.464037123
620,208344,46597,4,0.06,14991,0.322580645
347,192454,309680,23,0.08,29716,0.576368876
389,54443,131935,13,0.07,15481,0.514138817
301,81550,46088,21,0.08,4544,0.664451827
682,174334,370370,30,0.09,34323,0.293255132
699,297725,50559,8,0.06,8668,0.286123033
668,166170,81564,12,0.06,10244,0.299401198
797,258482,474059,13,0.07,57337,0.250941029
570,299394,48914,3,0.06,17724,0.350877193
